,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
contig-10375000003,0.69272035,0.18303232,0.6095854,0.12938066,0.19677018,0.4239142,0.390547,0.7882169,0.40048546,0.34028688,0.16146876,0.43314138,0.5662379,0.19472605,0.3063087,0.6844612,0.24475826,0.5191517,0.12641068,0.2622098,0.107117474,0.10244225,0.43476468,0.28456223,0.124699794,0.47282678,0.13820343,0.13459158,0.6540363,0.40799654,0.5811168,0.13566966,0.13016152,0.30841857,0.27358356,0.19894049,0.1401484,0.11142602,0.5109422,0.22832914,0.35249025,0.3775843,0.46753037,0.6456061,0.17897595,0.4405009,0.3501474,0.32950586,0.09144883,0.14212725,0.51311374,0.106356986,0.31737342,0.24747212,0.105962165,0.18781336,0.14225723,0.22639792,0.18774173,0.121362545,0.16286667,0.17767777,0.14772895,0.49686557,0.15078852,0.66853726,0.37982315,0.45435128,0.10139592,0.47308657
contig-10399000004,0.845626,0.11058888,0.50952893,0.060436226,0.06898438,0.36637202,0.4166509,0.5635399,0.12963872,0.21224502,0.080119,0.3833713,0.6973747,0.11234356,0.60370654,0.4541192,0.1742224,0.47934765,0.04775212,0.27749556,0.04901205,0.0407415,0.30675966,0.5097151,0.04334574,0.80657196,0.0764658,0.060573686,0.30371585,0.28200296,0.43748444,0.052098434,0.040994633,0.68144894,0.22040705,0.060233653,0.056850385,0.04487501,0.50672734,0.076510966,0.29588127,0.4583901,0.3848035,0.44260794,0.050076183,0.29260603,0.46059707,0.14928746,0.028303396,0.03739844,0.3752639,0.03351782,0.39938053,0.68757546,0.034390107,0.05814446,0.04365299,0.07478823,0.06649255,0.04175433,0.087249376,0.057101835,0.04477664,0.14916897,0.05827459,0.31780207,0.3790387,0.44732004,0.039160956,0.4674089
contig-104000002,0.69066936,0.24045819,0.58041424,0.20662983,0.22899646,0.48011917,0.39377478,0.674079,0.33008525,0.44244474,0.23714581,0.44190925,0.52038836,0.2381057,0.39555326,0.5367212,0.35420534,0.54112124,0.17636068,0.3628657,0.18353063,0.17757316,0.4867792,0.43503305,0.19050156,0.5725091,0.2542553,0.20882182,0.45313722,0.47209895,0.5731582,0.19505341,0.20106523,0.40888044,0.36015686,0.23123422,0.21662056,0.17606664,0.53758353,0.2688043,0.3652904,0.44830996,0.50142306,0.47060347,0.20952287,0.44500697,0.39612487,0.36210957,0.14827949,0.18456508,0.6022457,0.17304726,0.39326563,0.33500263,0.17859374,0.24465916,0.18835284,0.24780118,0.2272502,0.17282444,0.18892056,0.2594182,0.20981188,0.45207742,0.21026969,0.5203839,0.42046192,0.5150723,0.16919914,0.4372165
contig-10404000005,0.71635604,0.12023024,0.6113302,0.09211887,0.107657544,0.38931006,0.36606735,0.87405336,0.39757356,0.36308908,0.092715986,0.3895735,0.5766513,0.15023966,0.30485955,0.6551136,0.24331932,0.50042176,0.06312819,0.20984484,0.06333991,0.04967449,0.38049138,0.2586247,0.06387372,0.52198595,0.096842706,0.08705326,0.78386295,0.375306,0.5926662,0.07799921,0.086331375,0.2775765,0.21190885,0.15134619,0.09947773,0.06737322,0.48011887,0.13332342,0.31316358,0.39085436,0.4491267,0.6111429,0.10173872,0.39722747,0.33041728,0.30449456,0.044540543,0.077777214,0.47000432,0.06774882,0.30105555,0.20231795,0.062852055,0.14717305,0.078649335,0.1561791,0.11175399,0.06398644,0.08630065,0.12070844,0.07823173,0.35947418,0.08850572,0.61556786,0.3443819,0.41084966,0.06427121,0.4687863
contig-10435000010,0.67281896,0.23669825,0.60492104,0.19259101,0.22858232,0.43264344,0.39281443,0.7241552,0.4482786,0.3771034,0.22950356,0.43686873,0.5305162,0.24242169,0.34402978,0.6142416,0.3203268,0.5329296,0.17845951,0.33958298,0.16633892,0.15483941,0.4460008,0.3230777,0.18633495,0.5031208,0.2058764,0.18247487,0.5905355,0.43613648,0.56481016,0.19248767,0.18836342,0.33872697,0.33657882,0.26239118,0.20025226,0.17258412,0.5361137,0.27578142,0.4033911,0.40900722,0.50308347,0.55334306,0.22986425,0.4667223,0.39219666,0.34822917,0.14693204,0.20845993,0.49381202,0.18266864,0.36919156,0.2827263,0.16448158,0.25765926,0.19969545,0.2713586,0.23381987,0.192296,0.21108498,0.22361103,0.19704147,0.49740088,0.2081866,0.66333497,0.4086312,0.49105155,0.16900386,0.45234555
contig-10439000006,0.7319392,0.21532576,0.5513679,0.18411618,0.19857998,0.4133854,0.4545293,0.49678844,0.22736304,0.3057919,0.18050608,0.46131557,0.59450966,0.2158164,0.4629382,0.47961956,0.2714755,0.52830535,0.13302845,0.3106609,0.16587509,0.13588426,0.4150242,0.5550681,0.15899324,0.7352806,0.20419717,0.15721144,0.3948821,0.3583081,0.45997715,0.13943772,0.1338294,0.47197178,0.36116058,0.1740986,0.15131247,0.1589846,0.5362885,0.19644347,0.3891644,0.47389027,0.49337453,0.447235,0.14262496,0.38208807,0.5086123,0.24548271,0.120377794,0.12287454,0.40693933,0.121362545,0.43889198,0.52362645,0.11639214,0.15344934,0.1376312,0.19777419,0.1841244,0.13762465,0.19602016,0.17019069,0.13872239,0.24448833,0.17115173,0.42352667,0.4690375,0.5140374,0.12574548,0.4148618
contig-10449000007,0.7570717,0.18685636,0.5403552,0.12997656,0.13260402,0.4104976,0.42783076,0.5302327,0.2113334,0.30101717,0.13472651,0.4571287,0.5834655,0.19583033,0.53603804,0.4528334,0.28244895,0.51658857,0.10088188,0.31725815,0.11908639,0.099017665,0.30336607,0.52237004,0.10914518,0.73217547,0.1480229,0.124198966,0.36460143,0.3592751,0.4739138,0.108974576,0.10272832,0.6245477,0.35257342,0.13245617,0.12700532,0.11469589,0.50588715,0.14147986,0.36444858,0.50649786,0.43976548,0.42159364,0.12142642,0.354169,0.4760521,0.20160025,0.08360936,0.090479024,0.42129368,0.09181256,0.4012499,0.58280164,0.08988558,0.121077105,0.10380195,0.14694397,0.14182377,0.101001285,0.15389618,0.12700763,0.1067988,0.20134063,0.12165645,0.35382563,0.4338276,0.48476955,0.09959503,0.41434968
contig-10482000001,0.67815804,0.23101899,0.59686244,0.18926659,0.23459639,0.43466356,0.39597952,0.69110733,0.364906,0.38904312,0.21986967,0.41190436,0.53501785,0.2395574,0.36414915,0.61648536,0.32667175,0.5531983,0.17708515,0.3202542,0.16944037,0.15989244,0.4328632,0.36328748,0.17483512,0.5327751,0.20219408,0.19182536,0.5334684,0.4315729,0.5570271,0.19377966,0.18099391,0.36790854,0.33450982,0.23458526,0.2010464,0.16349155,0.5410229,0.2674315,0.40604287,0.41962516,0.50756764,0.5633161,0.21730684,0.45234182,0.40454647,0.35823652,0.14140204,0.19392599,0.5129013,0.16386501,0.36081293,0.32478675,0.163922,0.24810334,0.19568507,0.24845712,0.22608322,0.1752721,0.19248688,0.23720908,0.20353568,0.44536406,0.20649476,0.5742067,0.41925666,0.49787965,0.16254583,0.44464087
contig-1054000002,0.7010232,0.24774182,0.5498744,0.22335391,0.2181885,0.4472522,0.44879115,0.51864153,0.27151728,0.3164938,0.2235195,0.43172,0.51439387,0.2504786,0.47508758,0.45026928,0.32247525,0.4850749,0.17713119,0.34784704,0.19530506,0.18982127,0.35557738,0.50632614,0.1975527,0.695116,0.23461129,0.20671496,0.4179157,0.41781768,0.4618411,0.18482256,0.17593117,0.5177184,0.40656427,0.21359156,0.20131762,0.19258128,0.55411625,0.22220518,0.39506698,0.49369758,0.4938507,0.4550644,0.1916118,0.40175804,0.5170892,0.27922305,0.16083094,0.16945487,0.44701925,0.16643098,0.42605445,0.5386193,0.16953507,0.2084733,0.18633258,0.22427474,0.22352074,0.17173621,0.2162607,0.20877238,0.17673348,0.27099904,0.20311475,0.39769548,0.4765381,0.5278044,0.18683597,0.42779377
contig-10548000007,0.7165897,0.18611568,0.5376316,0.18045463,0.17597176,0.3945037,0.4556892,0.52065384,0.21725966,0.31139353,0.15551402,0.48191953,0.55834115,0.21228917,0.45701897,0.47124994,0.2728821,0.53833485,0.13004252,0.26609236,0.15602358,0.1398661,0.33858052,0.5384706,0.14892453,0.70004606,0.1785012,0.1449665,0.3905103,0.35992143,0.48319888,0.13307102,0.12629755,0.49250585,0.37593845,0.16434658,0.15033494,0.14772925,0.5304583,0.17336264,0.40778223,0.51508284,0.48243195,0.4959112,0.15587446,0.37669203,0.48139918,0.23421541,0.11316774,0.12212774,0.3944426,0.123099595,0.41035882,0.5189974,0.11818033,0.16406363,0.13191095,0.18534127,0.17589568,0.12406251,0.18187109,0.17644282,0.1329964,0.24214055,0.16975017,0.34325793,0.46860144,0.5076185,0.122371845,0.42889616
contig-10593000008,0.6692796,0.28138012,0.5923545,0.25364625,0.25625974,0.4495642,0.4243054,0.6485381,0.44170648,0.40548742,0.25745353,0.4279795,0.53608775,0.2900524,0.40316427,0.59599906,0.37409428,0.53752726,0.21948181,0.3516172,0.22745107,0.19850385,0.4140054,0.39034706,0.20923609,0.5521723,0.26787585,0.25927266,0.54740375,0.45530698,0.53413904,0.2331687,0.23291403,0.3567072,0.37001333,0.31743076,0.2623314,0.22042246,0.5338252,0.29849178,0.41480646,0.41471118,0.52324045,0.49274737,0.24598208,0.4676267,0.4142766,0.37590003,0.19815522,0.22923097,0.516424,0.22128558,0.42209345,0.33407938,0.21726578,0.2905306,0.2376877,0.31223947,0.2570398,0.239436,0.23699993,0.26552305,0.23585255,0.40659982,0.2599167,0.5786611,0.4479691,0.5266366,0.22354859,0.45205033
contig-10594000002,0.6812453,0.23609537,0.5974251,0.20955274,0.26072276,0.44708374,0.41342622,0.6702306,0.41566256,0.36929488,0.21018864,0.45808613,0.57641095,0.22634715,0.35721838,0.61566323,0.35053962,0.5869158,0.1778568,0.33027452,0.19843668,0.16027437,0.4539663,0.3949555,0.18311155,0.5287566,0.2482955,0.21061373,0.5418482,0.42383805,0.5494107,0.18997566,0.18803583,0.36614028,0.34675908,0.28662056,0.20834728,0.19290079,0.5236941,0.28788817,0.4267,0.42920893,0.51692945,0.5191081,0.21017589,0.47022274,0.40076336,0.337287,0.15820731,0.20438561,0.5137489,0.17425704,0.36916205,0.30732682,0.16762127,0.24017087,0.1966227,0.272192,0.22518852,0.20144121,0.22326276,0.2498911,0.20646587,0.41880396,0.21969007,0.5599617,0.41458392,0.5046165,0.16834898,0.45482993
contig-10623000008,0.6668762,0.21620329,0.600757,0.18490608,0.2284925,0.43568072,0.39245135,0.71148336,0.46434954,0.39083317,0.21492381,0.4141209,0.54177594,0.24743704,0.34621367,0.6197567,0.31630376,0.538448,0.16754586,0.32352293,0.1619675,0.15464088,0.45835072,0.33099446,0.17581479,0.4960153,0.2214331,0.19682805,0.6203744,0.4387144,0.55284333,0.1899885,0.18817757,0.340815,0.32259473,0.2726733,0.2005271,0.17056578,0.5246383,0.26413542,0.4038243,0.41269794,0.50560415,0.53858346,0.20679125,0.47333556,0.39329123,0.34845677,0.13968283,0.1892886,0.4961554,0.17180356,0.36472273,0.27646056,0.16569713,0.2605328,0.19152755,0.27466673,0.22539836,0.18461375,0.20186332,0.22253464,0.19044255,0.45230615,0.20424189,0.5930452,0.41398603,0.49869448,0.15908629,0.44971332
contig-1064000006,0.78117967,0.14235617,0.58583194,0.103455566,0.1152389,0.46025783,0.376448,0.7774328,0.21442127,0.46088853,0.105409056,0.4988171,0.60568935,0.12515777,0.43281487,0.6046209,0.28983736,0.5590558,0.07410426,0.2575397,0.07784792,0.063576765,0.4485771,0.45758322,0.06517562,0.6026545,0.12667286,0.097312964,0.4197104,0.38727933,0.6737678,0.08578754,0.07898074,0.39574385,0.22399825,0.11279317,0.10010359,0.06645954,0.4955008,0.1567405,0.2870957,0.40250897,0.45839596,0.47891885,0.0938549,0.38610616,0.29339173,0.32640654,0.04814777,0.06740721,0.659858,0.056085955,0.36877003,0.29234123,0.059198253,0.12444941,0.06980606,0.1303998,0.107124224,0.0594508,0.08802093,0.1632266,0.094508685,0.35207385,0.09699722,0.43266815,0.33839312,0.46103978,0.05662647,0.41632062
contig-10659000010,0.65676,0.23938438,0.6127384,0.20442554,0.24405377,0.43587127,0.40351582,0.7446699,0.5090339,0.34070244,0.23330191,0.42033607,0.5237151,0.25053954,0.32077444,0.61825055,0.30476874,0.51949304,0.19478452,0.33068082,0.17531662,0.16176684,0.4543098,0.287137,0.19022524,0.48959643,0.18884614,0.1923016,0.67117655,0.44990635,0.5421125,0.20244814,0.20651647,0.2882176,0.3239121,0.2890934,0.2192331,0.18551151,0.5329572,0.28856727,0.38060993,0.38764718,0.49182776,0.5873494,0.24985239,0.4806019,0.38036782,0.35457894,0.15226959,0.21703391,0.4915729,0.18914515,0.36780068,0.26004735,0.17307563,0.26151842,0.21032272,0.29650882,0.24146284,0.19879195,0.22505975,0.2308165,0.20468554,0.5205193,0.22468492,0.75985366,0.41292453,0.48408422,0.18122287,0.4686122
contig-10679000004,0.7342473,0.17155176,0.53460896,0.15504768,0.1594001,0.42339125,0.42159438,0.5427924,0.20885375,0.31306946,0.16245745,0.45093614,0.50953066,0.21768837,0.54125875,0.40651202,0.27194878,0.52759385,0.1253922,0.3191003,0.1441028,0.12924112,0.2803494,0.4917407,0.14485462,0.7217669,0.16424431,0.1492731,0.3512303,0.38707244,0.4950527,0.13494945,0.1256945,0.5892273,0.41974455,0.1505019,0.15104057,0.13605209,0.53026444,0.16257682,0.37154713,0.54731953,0.4783483,0.48758188,0.14578661,0.36026415,0.46943778,0.23015115,0.10350296,0.11368338,0.4080704,0.10830045,0.44443572,0.587101,0.112292945,0.15040725,0.12781395,0.16488117,0.16919613,0.12245886,0.16982803,0.149722,0.12818336,0.22244492,0.14810772,0.3525586,0.45231563,0.4913336,0.1242415,0.40613857
contig-1070000000,0.72601265,0.13491142,0.58623743,0.14529952,0.118287295,0.4227842,0.40878347,0.7533695,0.3204996,0.387346,0.10733882,0.50507754,0.560343,0.14302273,0.37532303,0.6450135,0.30889922,0.49767008,0.08288816,0.235496,0.09353436,0.08177491,0.35948026,0.39577892,0.08756976,0.5735407,0.13643034,0.10405229,0.62039566,0.38337243,0.5806557,0.10133796,0.10035971,0.33884934,0.2529378,0.1817208,0.11964372,0.08570701,0.48066264,0.1520378,0.33016178,0.42242298,0.47358304,0.4900701,0.113654226,0.39574218,0.33641252,0.2907914,0.06870174,0.087128654,0.5302262,0.08400423,0.3566162,0.26020557,0.07748966,0.1677118,0.087602414,0.17859355,0.13870703,0.087652974,0.10968682,0.16740985,0.09788322,0.30726826,0.12385399,0.4218332,0.37151384,0.463656,0.0754127,0.46995357
contig-10729000006,0.72443706,0.19238588,0.590423,0.18977335,0.18181124,0.44686174,0.432812,0.6589828,0.279883,0.45536232,0.1747127,0.52507305,0.56961495,0.17829914,0.42623186,0.5997832,0.34290463,0.50976384,0.12738144,0.27881107,0.14434242,0.13116753,0.44633487,0.5020671,0.13218923,0.6146377,0.20930551,0.15161,0.4316335,0.4108413,0.5934402,0.14554383,0.13815567,0.3919108,0.28948683,0.18223567,0.16524705,0.11880538,0.52054155,0.210741,0.33809513,0.40289387,0.49105877,0.44390756,0.15295433,0.41833812,0.360323,0.35479215,0.108573616,0.12029546,0.6105875,0.11737012,0.43956128,0.32968923,0.120231405,0.19801578,0.12493833,0.19397694,0.1831447,0.12613037,0.14528933,0.2261859,0.14203581,0.36589608,0.16842695,0.43474507,0.3972792,0.514769,0.10913171,0.44435287
contig-10756000007,0.7750564,0.10644702,0.590885,0.069471374,0.09015043,0.36930472,0.37855992,0.8354498,0.29828116,0.2744073,0.07768722,0.47111732,0.7250268,0.107225,0.33360615,0.6867644,0.21625763,0.49680567,0.050804883,0.22872943,0.053798877,0.03723789,0.41905093,0.31208846,0.047552075,0.5453092,0.08114022,0.05861124,0.57283866,0.3193036,0.58815295,0.056807812,0.048094373,0.34257826,0.18940589,0.1082828,0.06890583,0.048678398,0.46524557,0.11971744,0.2983845,0.36368072,0.40939242,0.57377106,0.077018805,0.3672524,0.308983,0.23186454,0.033081044,0.053662404,0.49788544,0.04175593,0.32447252,0.24235274,0.041171968,0.09254995,0.049693655,0.11197155,0.08811775,0.05113613,0.08276657,0.08670889,0.060808048,0.31138155,0.07218696,0.6342451,0.3101025,0.42111695,0.039052736,0.47840875
contig-10779000008,0.7070566,0.26741728,0.5501193,0.2027946,0.22295098,0.43090078,0.44439474,0.5185961,0.26024297,0.3358345,0.21516868,0.41047135,0.5136347,0.26973665,0.5000283,0.46459335,0.31509644,0.55155057,0.17606093,0.34255373,0.19572791,0.18198249,0.3363794,0.47305745,0.19385882,0.66367966,0.2279824,0.21026167,0.37958086,0.40990067,0.48257113,0.19537674,0.18276586,0.54980767,0.43986055,0.20628577,0.19096279,0.19484074,0.5400287,0.2127921,0.43136072,0.510519,0.48844367,0.47087267,0.20876464,0.41062507,0.5168611,0.2741701,0.16374914,0.1683678,0.42301273,0.16662635,0.37637267,0.58860147,0.16288318,0.19976799,0.20054944,0.21577066,0.22854409,0.18266545,0.24779205,0.19691333,0.18656546,0.2871879,0.19159162,0.36734605,0.4925748,0.5130903,0.17742093,0.41888073
contig-10828000011,0.73866856,0.18751921,0.62302375,0.13429603,0.15450157,0.43216968,0.3826341,0.7381855,0.2995187,0.44502807,0.1460794,0.51603377,0.6327578,0.16828701,0.40259418,0.6909287,0.32083854,0.54613245,0.09903829,0.25673318,0.10613189,0.085748374,0.43451026,0.4191937,0.097900406,0.554666,0.16507939,0.13015565,0.4859759,0.39320365,0.6347888,0.11232235,0.110637225,0.36236492,0.24812074,0.1651748,0.13287397,0.09574522,0.4965132,0.20528795,0.32927415,0.36455265,0.48657617,0.45506045,0.12854205,0.4322831,0.32210603,0.34401882,0.08018491,0.10117142,0.60831016,0.08854849,0.35731378,0.28344518,0.08727003,0.17083251,0.10914016,0.1851803,0.14761396,0.09796072,0.13079661,0.19375904,0.11773143,0.3864849,0.13502277,0.537416,0.36475176,0.46176696,0.08274485,0.42426804
